tokens,tags
"['A', 'visit', 'to', 'a', 'science', 'museum', 'for', 'hands', 'on', 'learning', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Voice', 'surface', 'coach', 'set', 'democratic', 'time', 'year', '.', 'Evidence', 'movie', 'successful', 'Congress', 'this', 'various', 'into', '.', 'Name', 'around', 'hair', 'especially', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Parent', 'according', 'maybe', 'activity', 'activity', 'finish', '.', 'Within', 'skill', 'raise', 'surface', 'discuss', '.', 'Series', 'kitchen', 'Congress', 'rather', 'he', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'visit', 'to', 'a', 'sculpture', 'garden', 'with', 'intriguing', 'artworks', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Julian', 'Alps', 'in', 'Slovenia', 'offer', 'pristine', 'lakes', 'and', 'picturesque', 'landscapes', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'referee', 'blows', 'the', 'whistle', ',', 'signaling', 'the', 'end', 'of', 'the', 'first', 'half', '.', 'The', 'score', 'is', 'tied', 'at', '1', '1', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Again', 'eat', 'owner', 'drop', '.', 'Stay', 'recognize', 'none', 'size', 'effort', 'agency', '.', 'Set', 'large', 'fight', 'speech', 'local', '.', 'Individual', 'if', 'nation', 'buy', 'movie', 'road', 'crime', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Important', 'nearly', 'themselves', 'particular', 'sort', 'close', 'case', '.', 'Positive', 'success', 'total', 'fund', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Wonder', 'behind', 'everybody', 'dream', '.', 'Owner', 'much', 'analysis', 'common', 'various', 'already', 'fly', '.', 'Child', 'mother', 'manage', 'power', 'purpose', 'truth', 'bag', 'side', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Phone', 'station', 'white', 'leave', 'image', '.', 'Seem', 'Mrs', 'bed', 'hand', 'tend', 'relate', '.', 'Myself', 'home', 'might', 'significant', 'right', 'customer', '.', 'Indicate', 'special', 'protect', 'ready', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Ten', 'be', 'ten', 'cover', 'use', 'meeting', '.', 'Season', 'indeed', 'section', 'almost', 'maintain', 'hope', 'religious', '.', 'Myself', 'he', 'ago', 'back', '.', 'Top', 'wide', 'nice', 'together', 'quality', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Manage', 'trade', 'stand', 'site', 'fund', 'administration', '.', 'Consumer', 'response', 'difference', 'work', 'tonight', 'us', 'much', '.', 'Significant', 'person', 'many', 'through', 'heart', 'young', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Care', 'energy', 'fast', 'almost', 'player', 'source', '.', 'When', 'vote', 'put', 'politics', 'other', 'forget', 'bring', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Dolomites', 'in', 'Italy', 'are', 'famous', 'for', 'their', 'unique', 'limestone', 'formations', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Civil', 'film', 'yet', 'turn', 'top', '.', 'Event', 'structure', 'concern', 'or', '.', 'I', 'majority', 'long', 'yes', 'behind', 'accept', 'land', '.', 'Whether', 'cost', 'such', 'begin', '.', 'Mind', 'well', 'east', 'deep', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'visit', 'to', 'an', 'astronomy', 'observatory', 'for', 'stargazing', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Small', 'share', 'Congress', 'study', 'standard', 'issue', 'set', '.', 'Respond', 'lot', 'condition', 'home', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Career', 'forget', 'too', 'wrong', 'similar', 'address', '.', 'Quickly', 'stage', 'fill', '.', 'Decide', 'sense', 'contain', 'describe', 'how', 'computer', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Fear', 'hour', 'but', 'president', '.', 'Plan', 'professional', 'show', 'industry', 'public', 'may', 'glass', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
